"Part No.","Part description","Group number","Group name","In stock","Available","Expected, available","Reorder point","Vendor number","Vendor name","Vendor part no.","Lead time","Price per UoM","Subtotal","Notes","BWE added value cost","Buy Price","Supplier 1","S1 Buy price","Vender Part Number","Supplier 2","S2 Buy Price","Vender 2 Part Number","Sell Price"
"VLPE-060","Cable power fig8 for Hydraulic power pack 8G R/B","AG00005.3","Electrical",0,0,0,2,,,,,,,,,"$7.18",,,,"Jaycar","'-",,
"VLPE-062","Cable power Rnd Ofc 4G BLACK (hyd heavy duty)","AG00005.3","Electrical",0,0,0,1,,,,,,,,,"$7.18 perM",,,,"Jaycar","'-",,
"VLPE-061","Cable power Rnd Ofc 4G RED (hyd heavy duty)","AG00005.3","Electrical",0,0,0,1,,,,,,,,,"$8.78 perM",,,,"Jaycar","'-",,
"VLPF-066","CAM ACTION INDEXING PLUNGER","AG00004.1","Vaclift",0,0,0,1,"V00327","OCEANIA INDUSTRIAL COMPONENTS","GN 612-12-M20x1.5-AK-NI",10,1,1,,,,,,,,,,
"VLPA-003","Check valve- Vaccon (on compressor)","AG00005.2","Air System",8,4,0,20,"V00025","MARINEX CONTROLS","I-VCV-75-14",0,66,1056,,,"$66",,,,"Brian 0408959196","'-",,
"CIRCLIP D1300-28","CIRCLIP D1300-28","AG00007","Fastener",0,0,0,10,"V00128","BUILD IT FASTENERS",,3,2,20,,,,,,,,,,
"CIRCLIP DIN 471-20","CIRCLIP DIN 471-20","AG00007","Fastener",0,0,0,10,"V00128","BUILD IT FASTENERS",,3,2,20,,,,,,,,,,
"VLPE-133","Compressor 12V 8A 70L/min twin head","AG00005.3","Electrical",0,0,0,1,"V00020","Ningbo Yinzhou Maisi Mechanical & Electrical Co., Ltd","GZ 35B-12 A/F70L/min",0,245,245,,,"$245.00",,,,"Ningbo Yinzhou Maisi","'-",,
"VLPE-038","Connector DC female bulkhead 2.1mm","AG00005.3","Electrical",12,12,0,20,"V00042","ALTRONICS",,,2.92,23.36,,,"$2.80",,,,"www.altronics.com.au","'-",,
"VLPE-037","Connector DC female Line 2.1mm","AG00005.3","Electrical",12,12,0,20,"V00294","Electus Distribution","PS0526",,2.86,22.88,,,"$2.86",,,,"www.techbrands.com","'-",,
"VLPE-014","control board PCB electric actuator","AG00005.3","Electrical",0,0,0,4,,,,,,,,,"$76.66","BWENG",,,"Linak","'-",,
"VLPE-028","Curly cord for pendant (for rectangle plug)","AG00005.3","Electrical",0,0,0,30,"V00013","www.faryuan.com","8core x 4M",0,0,0,,,0,,,,"'-","'-",,
"VLPE-028-SP","Curly cord for pendant short with rectangle plug","AG00005.3","Electrical",0,0,0,2,,,,,,,,,0,,,,"'-","'-",,
"VLPA-058","Curly Hose Blue","AG00005.2","Air System",0,0,0,20,"V00029","smt-pneumatic.com","'-",0,2,40,,,"$2",,,,"'-","'-",,
"VLPA-068","Curly hose for CVL with Nitto fittings","AG00005.2","Air System",0,0,0,1,"V00030","BUNNINGS","PWFH004",0,0,0,,,0,,,,"'-","'-",,
"VLPA-059","Curly Hose Yellow","AG00005.2","Air System",0,0,0,20,"V00029","smt-pneumatic.com","'-",0,2,40,,,"$2",,,,"'-","'-",,
"VLPE-065","Diode 6A1 100V 6A (hydraulic)","AG00005.3","Electrical",0,0,0,5,,,,,,,,,"71c",,,,"Jaycar","'-",,
"LMS_015","DROP BOLT SPRING","AG00004.1","Vaclift",0,0,0,20,"V00108","SPECIFIC SPRINGS",,30,5,100,,,,,,,,,,
"VLPA-035","Filter/drain bowl assy silver (small no tap)","AG00005.2","Air System",0,0,0,20,,,,,,,,,0,,,,"'-","'-",,
"A0000203","Fine Brass mesh","AG00009","Material Raw",0,0,0,1,"V00245","MIDWAY METALS",,5,1,1,,,1.00,,,,,,,
"VLPA-097","FLOW CONTROL VALVE 90 DEGREE 8MM TO 1/4BSP","AG00005.2","Air System",0,0,0,10,"V00060","NINGBO KEPLER AUTOMATION CO., LTD (NINGBO SHIMAOTONG INTERNATIONAL",,30,4.5,45,,,,,,,,,,
"VLPE-166","FUSE 5X20MM 800MA GLASS FUSE","AG00005.3","Electrical",0,0,0,5,"V00042","ALTRONICS","S5719",14,1.5,7.5,,,,,,,,,,
"VLPE-059","Fuse Holder blade 30A W/proof W/LED","AG00005.3","Electrical",0,0,0,1,,,,,,,,,"$3.17",,,,"Jaycar","'-",,
"VLPE-055","Fuse holder glass M205 panel mount safe","AG00005.3","Electrical",10,8,0,10,"V00042","ALTRONICS",,30,1.69,3.38,,,"$1.69","Altronics",,,"'-","'-",,
"VLPE-019","Fuse Holder with screw cap glass fuse type","AG00005.3","Electrical",10,10,0,20,"V00294","Electus Distribution","SZ2030",10,2.25,22.5,,,,"Altronics",,"S5991","Electus",,"SZ2030",
"VLPA-105","Gauge Bottom Entry","AG00005.2","Air System",0,0,0,20,"V00057","NINGBO SMART PNEUMATIC CO LTD",,30,2.775,55.5,,,,,,,"'-","'-",,
"VLPA-104","Gauge rear entry 60mm 1/4 BSP","AG00005.2","Air System",0,0,0,20,"V00057","NINGBO SMART PNEUMATIC CO LTD",,30,2.775,55.5,,,"$2.40",,,,"Ningbo Smart Pneumatic","'-",,
"VLPE-039","Gland cable M12x7.9 / 3-6.5OD","AG00005.3","Electrical",0,0,0,20,,,,,,,,,"$3.90",,,,"www.altronics.com.au","'-",,
"VLPF-034","Handlebar Grip","AG00004.1","Vaclift",2,-2,0,10,"V00295","TEEMU",,20,3.5,42,,,,,,,,,,
"VLPE-095","Header 2.54 4 way beige PCB straight","AG00005.3","Electrical",26,22,0,50,"V00294","Electus Distribution","HM3414",30,0.21,5.88,,,".78c",,,,"www.altronics.com.au","'-",,
"VLPE-126","Header 2.54 6way 90deg front cover dual","AG00005.3","Electrical",0,0,0,5,,,,,,,,,"$1.50",,,,"www.techbrands.com","'-",,
"VLPE-079","Header plug Dinkle 5.08 PCB Vrt Male 3way","AG00005.3","Electrical",0,0,0,20,,,,,,,,,".85c",,,,"www.altronics.com.au","'-",,
"VLPE-120","Header white 3.96 2 way (elec actuator)","AG00005.3","Electrical",0,0,0,5,,,,,,,,,".52c",,,,"'-","'-",,
"A00120","Hi-Vac Vulcanized Rubber Plate","AG00004.1","Vaclift",0,0,20,50,"CU0001","ALLIED RUBBER",,15,130,3900,,,,,,,,,,
"VLPE-094","Housing 2.54 4 way beige line","AG00005.3","Electrical",26,22,20,50,"V00294","Electus Distribution","HM3404",30,0.43,3.44,,,".70c",,,,"www.altronics.com.au","'-",,
"VLPE-131","Housing 2.54 6way front  cover dual","AG00005.3","Electrical",0,0,0,5,,,,,,,,,"$1.01",,,,"'-","'-",,
"VLPE-121","Housing white 3.96 2 way (elec actuator)","AG00005.3","Electrical",0,0,0,5,,,,,,,,,".72c",,,,"'-","'-",,
"VLPH-002","Hydraulic cylinder 52512 (2.5"" x 12"" stroke)","AG00005.1","Hydraulic",0,0,0,2,"V00035","Qingdao Wantong Hyd Pwr",,0,202,404,,,"$202",,,,"'-","'-",,
"VLPH-007","Hydraulic hose and 90deg fitting 800mm","AG00005.1","Hydraulic",4,4,0,5,"V00035","Qingdao Wantong Hyd Pwr",,0,29.8,29.8,,,"$29.80",,,,"'-","'-",,
"VLPH-001","Hydraulic power pack (3000psi, 0.5ml/rev)","AG00005.1","Hydraulic",0,0,0,2,"V00035","Qingdao Wantong Hyd Pwr",,0,449,898,,,"$449",,,,"'-","'-",,
"VLPF-039","LABEL FILTER BOWL EMPTY/CLEAN 85X48MM RED/SILVER","AG00008","LABELS",0,0,0,10,"V00319","EXPRESS SIGNS AND DESIGNS",,10,5,50,,,,,,,,,,
"VLPE-067","LED 10mm Yellow (dual circuit)","AG00005.3","Electrical",0,0,0,5,,,,,,,,,"$0.84",,,,"Jaycar","'-",,
"VLPE-113","LED 3mm Blue diffused","AG00005.3","Electrical",0,0,0,10,"V00014","'-","'-",0,1.45,14.5,,,"$1.45",,,,"Ledsales.com.au","'-",,
"VLPE-051","LED light round large green","AG00005.3","Electrical",0,0,0,4,"V00013","www.faryuan.com","LTD5162 GREEN",0,0,0,,,0,,,,"'-","'-",,
"VLPE-050","LED light round large red","AG00005.3","Electrical",0,0,0,4,"V00013","www.faryuan.com","LTD5162 RED",0,0,0,,,0,,,,"'-","'-",,
"VLPE-058","Linak power cable (actuator-control board)","AG00005.3","Electrical",0,0,0,1,,,,,,,,,"$15.00",,,,"Linak","'-",,
"VLPE-016","Low vac switch N/O 1/4BSP 1330","AG00005.3","Electrical",8,-1,0,20,"V00012","www.lefoo.com","LF20V-321610-15""Inches",0,8.1,170.1,,,"$8.10","Lefoo",,"LF20V-321610-15""","Lefoo","'-",,
"A0001153","LYNCH PIN Ø8","AG00007","Fastener",0,0,0,20,"V00128","BUILD IT FASTENERS",,5,4,80,,,,,,,,,,
"M10 HH BOLT 30MM L GRADE 4.6 ZP","M10 HH BOLT 30MM L GRADE 4.6 ZP","AG00004.1","Vaclift",0,0,0,50,"V00128","BUILD IT FASTENERS",,1,2.2,110,,,,,,,,,,
"M10 Spring Washer ZP","M10 Spring Washer ZP","AG00007","Fastener",0,0,0,100,"V00128","BUILD IT FASTENERS",,5,0.06,6,,,,,,,,,,
"M12 HH Bolt 150mm L GR 8.8 ZP","M12 HH Bolt 150mm L GR 8.8 ZP","AG00009.27","Material Raw Misc",0,0,0,1,,,,,,,,,,,,,,,,
"M12 SHCC 25MM L ZP","M12 SHCC 25MM L ZP","AG00007","Fastener",98,98,0,100,"V00128","BUILD IT FASTENERS","M12 SHCC 25MM L ZP M12 SHCC 25MM L ZP",5,2.5,5,,,,,,,,,,
"M12 SHCS 25mm L Grade 8.8ZP","M12 SHCS 25mm L Grade 8.8ZP","AG00007","Fastener",78,68,0,100,"V00128","BUILD IT FASTENERS",,5,2.25,72,,,,,,,,,,
