"Number","Part No.","Part description","Free text","Vendor part no.","Group number","Group name","Quantity","Lot","Total","Tax","Total including tax","Unit cost","Currency","Total (in currency)","Tax (in currency)","Total including tax (in currency)","Unit cost (in currency)","Status","Product status","Created by","Created","Expected date","Arrival date","Order ID","Order date","Invoice ID","Invoice date","Due date","Shipped on","Delay","Vendor number","Vendor name","PO free text","B.W.E. Job ID","PO Emailed","Attention","NOTES","ACCOUNT","Notes","BWE added value cost","Buy Price","Supplier 1","S1 Buy price","Vender Part Number","Supplier 2","S2 Buy Price","Vender 2 Part Number","Sell Price"
"PO00038","VLPE-081","Capacitor 10U 63V for Battery Indicator",,"RE6075","AG00005.3","Electrical",12,"L00183",2.52,0.25,2.77,0.21,"$",2.52,0.25,2.77,0.21,"Received","Received","David C","16/07/2025","28/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,".22c",,,,"'-","'-",,
"PO00038","VLPE-082","resistor 5K6 ohm for battery indicator",,"RR0590","AG00005.3","Electrical",1,"L00184",0.58,0.06,0.64,0.58,"$",0.58,0.06,0.64,0.58,"Received","Received","David C","16/07/2025","28/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,".46c",,,,"'-","'-",,
"PO00038","VLPE-083","resistor 10K ohm for battery indicator",,"RR0596","AG00005.3","Electrical",1,"L00185",0.58,0.06,0.64,0.58,"$",0.58,0.06,0.64,0.58,"Received","Received","David C","16/07/2025","28/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,,,,,"'-","'-",,
"PO00038","VLPE-091","Fuse 15A Blade blue",,,"AG00005.3","Electrical",10,"L00181",6.3,0.63,6.93,0.63,"$",6.3,0.63,6.93,0.63,"Received","Received","David C","16/07/2025","17/07/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,6,"V00294","Electus Distribution",,,,,,,,,".80c",,,,"'-","'-",,
"PO00038","VLPE-094","Housing 2.54 4 way beige line",,"HM3404","AG00005.3","Electrical",30,"L00173",12.9,1.29,14.19,0.43,"$",12.9,1.29,14.19,0.43,"Received","Received","David C","16/07/2025","18/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,".70c",,,,"www.altronics.com.au","'-",,
"PO00038","VLPE-095","Header 2.54 4 way beige PCB straight",,"HM3414","AG00005.3","Electrical",30,"L00175",6.3,0.63,6.93,0.21,"$",6.3,0.63,6.93,0.21,"Received","Received","David C","16/07/2025","18/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,".78c",,,,"www.altronics.com.au","'-",,
"PO00038","VLPE-100","3 Pin 0.1in Header with Crimp Pins - 2.54mm Pitch Female",,"HM3403","AG00005.3","Electrical",30,"L00179",11.1,1.11,12.21,0.37,"$",11.1,1.11,12.21,0.37,"Received","Received","David C","16/07/2025","18/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,.70,,,,"www.altronics.com.au","'-",,
"PO00038","VLPE-101","Trimpot HRZ 10K (for battery indicator)",,"RT4360","AG00005.3","Electrical",12,"L00186",9.72,0.97,10.69,0.81,"$",9.72,0.97,10.69,0.81,"Received","Received","David C","16/07/2025","28/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,,,,,"www.altronics.com.au","'-",,
"PO00038","VLPE-103","LED 5mm BICOL DIF Red/Green battery indicator",,"ZD0250","AG00005.3","Electrical",12,"L00187",6.36,0.64,7,0.53,"$",6.36,0.64,7,0.53,"Received","Received","David C","16/07/2025","28/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,,,,,"Ledsales.com.au","'-",,
"PO00038","VLPE-104","IC LM358N DIP8 (battery indicator)",,"ZL3358","AG00005.3","Electrical",12,"L00188",16.8,1.68,18.48,1.4,"$",16.8,1.68,18.48,1.4,"Received","Received","David C","16/07/2025","28/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,,,,,"'-","'-",,
"PO00038","VLPE-105","VREF diode LM336-2.5 (battery indicator)",,"ZV1624","AG00005.3","Electrical",12,"L00189",29.88,2.99,32.87,2.49,"$",29.88,2.99,32.87,2.49,"Received","Received","David C","16/07/2025","28/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,,,,,"'-","'-",,
"PO00038","VLPE-111","Header male 2.54 3way beige",,"HM3413","AG00005.3","Electrical",30,"L00180",4.8,0.48,5.28,0.16,"$",4.8,0.48,5.28,0.16,"Received","Received","David C","16/07/2025","18/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,".70c",,,,"www.techbrands.com","'-",,
"PO00038","VLPE-112","Resistor 4M7 for battery indicator",,"RR1664","AG00005.3","Electrical",4,"L00190",1.76,0.18,1.94,0.44,"$",1.76,0.18,1.94,0.44,"Received","Received","David C","16/07/2025","28/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,,,,,"'-","'-",,
"PO00038","VLPE-115","Trans TIP 122 NPN 100v 5A (test board)",,"ZT2292","AG00005.3","Electrical",12,"L00176",18.48,1.85,20.33,1.54,"$",18.48,1.85,20.33,1.54,"Received","Received","David C","16/07/2025","28/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,"$1.54",,,,"www.altronics.com.au","'-",,
"PO00038","VLPE-124","Term block line 4way 5.08 on/off switch new",,"HM3124","AG00005.3","Electrical",12,"L00177",31.56,3.16,34.72,2.63,"$",31.56,3.16,34.72,2.63,"Received","Received","David C","16/07/2025","18/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,".92c",,,,"www.techbrands.com","'-",,
"PO00038","VLPE-125","Term block PCB 4way 5.08 on/off switch new",,"HM3114","AG00005.3","Electrical",12,"L00178",13.44,1.34,14.78,1.12,"$",13.44,1.34,14.78,1.12,"Received","Received","David C","16/07/2025","18/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,2.19,,,,"www.techbrands.com","'-",,
"PO00038","VLPF-028","Enclosure control box for CVL 171 x 121 x 55mm",,"HB6218","AG00005.3","Electrical",4,"L00168",72.52,7.25,79.77,18.13,"$",72.52,7.25,79.77,18.13,"Received","Received","David C","16/07/2025","18/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,,"Electus Distribution",,"HB6218",,,,
